Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
345,RI,Rhode Island,2," 407,668 "," 6,982 "," 361,968 "," 6,860 ", 88.8 , 1.1 ," 16,926 "," 2,885 ", 4.2 , 0.7 ," 10,467 "," 2,182 ", 2.6 , 0.5 , N , N , N , N , N , N , N , N ," 8,404 "," 2,890 ", 2.1 , 0.7 ," 7,916 "," 2,930 ", 1.9 , 0.7 ," 38,441 "," 4,853 ", 9.4 , 1.1 ," 334,255 "," 4,729 ", 82.0 , 1.3 
346,SC,South Carolina,1," 613,912 "," 6,942 "," 466,500 "," 5,070 ", 76.0 , 0.7 ," 115,167 "," 4,894 ", 18.8 , 0.7 ," 9,064 "," 1,230 ", 1.5 , 0.2 , N , N , N , N , N , N , N , N ," 10,198 "," 2,082 ", 1.7 , 0.3 ," 10,966 "," 2,336 ", 1.8 , 0.4 ," 24,809 "," 2,285 ", 4.0 , 0.4 ," 452,570 "," 4,563 ", 73.7 , 0.6 
347,SC,South Carolina,2," 537,342 "," 7,030 "," 385,598 "," 4,734 ", 71.8 , 0.8 ," 130,527 "," 5,196 ", 24.3 , 0.8 ," 7,361 "," 1,236 ", 1.4 , 0.2 , N , N , N , N , N , N , N , N ," 4,495 "," 1,431 ", 0.8 , 0.3 ," 8,285 "," 2,868 ", 1.5 , 0.5 ," 20,880 "," 2,046 ", 3.9 , 0.4 ," 370,699 "," 4,327 ", 69.0 , 0.8 
348,SC,South Carolina,3," 534,772 "," 4,868 "," 422,270 "," 4,766 ", 79.0 , 0.6 ," 99,145 "," 5,910 ", 18.5 , 1.1 ," 3,035 "," 1,187 ", 0.6 , 0.2 , N , N , N , N , N , N , N , N ," 3,722 "," 1,394 ", 0.7 , 0.3 ," 5,957 "," 3,299 ", 1.1 , 0.6 ," 14,388 "," 1,708 ", 2.7 , 0.3 ," 412,561 "," 4,353 ", 77.1 , 0.6 
349,SC,South Carolina,4," 533,533 "," 6,329 "," 405,172 "," 5,606 ", 75.9 , 0.6 ," 102,042 "," 3,402 ", 19.1 , 0.6 ," 10,346 "," 1,672 ", 1.9 , 0.3 , N , N , N , N , N , N , N , N ," 4,795 "," 1,287 ", 0.9 , 0.2 ," 10,285 "," 4,247 ", 1.9 , 0.8 ," 18,153 "," 2,343 ", 3.4 , 0.4 ," 393,623 "," 5,317 ", 73.8 , 0.7 
350,SC,South Carolina,5," 552,247 "," 4,381 "," 385,649 "," 4,232 ", 69.8 , 0.6 ," 146,617 "," 3,872 ", 26.5 , 0.7 ," 5,308 ", 894 , 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 3,662 "," 1,201 ", 0.7 , 0.2 ," 8,765 "," 4,057 ", 1.6 , 0.7 ," 14,601 "," 1,987 ", 2.6 , 0.3 ," 375,463 "," 3,593 ", 68.0 , 0.5 
351,SC,South Carolina,6," 506,843 "," 10,563 "," 210,650 "," 6,516 ", 41.6 , 1.1 ," 276,661 "," 8,830 ", 54.6 , 1.2 ," 3,846 "," 1,221 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 3,026 "," 1,183 ", 0.6 , 0.2 ," 10,764 "," 4,932 ", 2.1 , 1.0 ," 10,092 "," 1,586 ", 2.0 , 0.3 ," 205,293 "," 6,635 ", 40.5 , 1.1 
352,SC,South Carolina,7," 571,428 "," 3,454 "," 403,217 "," 2,674 ", 70.6 , 0.4 ," 151,170 "," 3,382 ", 26.5 , 0.5 ," 4,767 "," 1,011 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 3,234 "," 1,667 ", 0.6 , 0.3 ," 4,248 "," 3,508 ", 0.7 , 0.6 ," 12,571 "," 2,191 ", 2.2 , 0.4 ," 394,892 "," 2,307 ", 69.1 , 0.4 
353,SD,South Dakota,At-large," 647,089 "," 2,674 "," 573,199 "," 1,795 ", 88.6 , 0.4 ," 7,602 "," 1,415 ", 1.2 , 0.2 ," 4,301 "," 1,215 ", 0.7 , 0.2 ," 47,766 "," 3,534 ", 7.4 , 0.5 , N , N , N , N ," 2,976 "," 1,136 ", 0.5 , 0.2 ," 11,750 "," 4,193 ", 1.8 , 0.6 ," 16,770 "," 1,195 ", 2.6 , 0.2 ," 562,090 "," 1,099 ", 86.9 , 0.3 
354,TN,Tennessee,1," 563,918 "," 3,157 "," 540,760 "," 3,037 ", 95.9 , 0.3 ," 12,046 "," 2,475 ", 2.1 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 1,756 ", 804 , 0.3 , 0.1 ," 7,097 "," 2,564 ", 1.3 , 0.5 ," 8,717 "," 1,527 ", 1.5 , 0.3 ," 534,862 "," 2,428 ", 94.8 , 0.4 
355,TN,Tennessee,2," 583,056 "," 3,129 "," 530,524 "," 2,841 ", 91.0 , 0.3 ," 34,866 "," 1,318 ", 6.0 , 0.2 ," 6,892 "," 1,325 ", 1.2 , 0.2 , N , N , N , N , N , N , N , N ," 2,060 ", 805 , 0.4 , 0.1 ," 7,260 "," 3,162 ", 1.2 , 0.5 ," 12,772 "," 1,435 ", 2.2 , 0.2 ," 520,933 "," 2,630 ", 89.3 , 0.4 
356,TN,Tennessee,3," 571,456 "," 3,926 "," 494,474 "," 3,784 ", 86.5 , 0.3 ," 58,905 "," 2,018 ", 10.3 , 0.4 ," 5,320 ", 864 , 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 1,619 ", 829 , 0.3 , 0.1 ," 9,009 "," 3,073 ", 1.6 , 0.5 ," 11,835 "," 1,873 ", 2.1 , 0.3 ," 485,077 "," 3,504 ", 84.9 , 0.3 
357,TN,Tennessee,4," 590,540 "," 4,743 "," 509,128 "," 4,452 ", 86.2 , 0.5 ," 58,521 "," 2,345 ", 9.9 , 0.4 ," 6,539 "," 1,183 ", 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 4,177 "," 1,598 ", 0.7 , 0.3 ," 9,871 "," 4,233 ", 1.7 , 0.7 ," 19,562 "," 2,215 ", 3.3 , 0.4 ," 494,574 "," 3,742 ", 83.7 , 0.5 
358,TN,Tennessee,5," 563,797 "," 5,435 "," 396,515 "," 2,997 ", 70.3 , 0.6 ," 135,489 "," 4,622 ", 24.0 , 0.7 ," 12,568 "," 1,621 ", 2.2 , 0.3 , N , N , N , N , N , N , N , N ," 7,589 "," 2,542 ", 1.3 , 0.5 ," 10,001 "," 1,528 ", 1.8 , 0.3 ," 20,724 "," 2,526 ", 3.7 , 0.4 ," 382,584 "," 2,523 ", 67.9 , 0.6 
359,TN,Tennessee,6," 591,603 "," 3,690 "," 546,480 "," 3,116 ", 92.4 , 0.4 ," 27,006 "," 1,844 ", 4.6 , 0.3 ," 3,122 "," 1,070 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N ," 4,599 "," 1,548 ", 0.8 , 0.3 ," 8,624 "," 3,802 ", 1.5 , 0.6 ," 11,050 "," 1,564 ", 1.9 , 0.3 ," 541,137 "," 2,708 ", 91.5 , 0.4 
360,TN,Tennessee,7," 578,288 "," 3,700 "," 494,255 "," 3,602 ", 85.5 , 0.4 ," 58,811 "," 2,405 ", 10.2 , 0.4 ," 7,939 "," 1,596 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N ," 9,621 "," 3,358 ", 1.7 , 0.6 ," 20,849 "," 1,687 ", 3.6 , 0.3 ," 479,302 "," 2,766 ", 82.9 , 0.4 
361,TN,Tennessee,8," 525,277 "," 4,889 "," 411,730 "," 5,291 ", 78.4 , 0.7 ," 99,356 "," 3,943 ", 18.9 , 0.7 ," 6,453 "," 1,406 ", 1.2 , 0.3 , N , N , N , N , N , N , N , N , 838 , 443 , 0.2 , 0.1 ," 5,701 "," 3,006 ", 1.1 , 0.6 ," 9,750 "," 1,292 ", 1.9 , 0.2 ," 403,854 "," 5,123 ", 76.9 , 0.7 
362,TN,Tennessee,9," 507,231 "," 5,835 "," 143,828 "," 5,495 ", 28.4 , 0.9 ," 347,105 "," 4,176 ", 68.4 , 0.8 ," 6,463 "," 1,428 ", 1.3 , 0.3 , N , N , N , N , N , N , N , N ," 2,680 ", 915 , 0.5 , 0.2 , N , N , N , N ," 9,765 "," 1,574 ", 1.9 , 0.3 ," 137,622 "," 5,237 ", 27.1 , 0.9 
363,TX,Texas,1," 511,974 "," 4,743 "," 398,418 "," 4,681 ", 77.8 , 0.5 ," 95,185 "," 2,172 ", 18.6 , 0.4 ," 5,247 ", 997 , 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 4,255 "," 1,394 ", 0.8 , 0.3 ," 5,901 "," 3,342 ", 1.2 , 0.7 ," 50,490 "," 3,071 ", 9.9 , 0.5 ," 354,220 "," 3,331 ", 69.2 , 0.5 
364,TX,Texas,2," 520,180 "," 17,389 "," 374,579 "," 14,623 ", 72.0 , 1.7 ," 67,918 "," 8,195 ", 13.1 , 1.5 ," 36,469 "," 4,204 ", 7.0 , 0.8 , N , N , N , N , N , N , N , N ," 28,948 "," 5,560 ", 5.6 , 1.0 ," 10,300 "," 2,090 ", 2.0 , 0.4 ," 116,957 "," 9,257 ", 22.5 , 1.4 ," 291,204 "," 11,334 ", 56.0 , 1.5 
365,TX,Texas,3," 563,318 "," 7,999 "," 417,000 "," 6,791 ", 74.0 , 0.8 ," 62,190 "," 3,262 ", 11.0 , 0.5 ," 59,788 "," 4,029 ", 10.6 , 0.7 , N , N , N , N , N , N , N , N ," 8,533 "," 2,123 ", 1.5 , 0.4 ," 12,224 "," 2,309 ", 2.2 , 0.4 ," 57,426 "," 3,857 ", 10.2 , 0.6 ," 371,559 "," 5,869 ", 66.0 , 0.9 
366,TX,Texas,4," 543,354 "," 5,315 "," 450,691 "," 4,708 ", 82.9 , 0.7 ," 62,889 "," 5,833 ", 11.6 , 1.1 ," 4,482 "," 1,142 ", 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 13,055 "," 3,304 ", 2.4 , 0.6 ," 8,982 "," 3,261 ", 1.7 , 0.6 ," 48,269 "," 3,641 ", 8.9 , 0.6 ," 417,038 "," 3,792 ", 76.8 , 0.7 
367,TX,Texas,5," 480,610 "," 7,387 "," 370,826 "," 6,699 ", 77.2 , 1.1 ," 79,554 "," 5,292 ", 16.6 , 1.1 ," 5,214 "," 1,868 ", 1.1 , 0.4 , N , N , N , N , N , N , N , N ," 13,173 "," 2,628 ", 2.7 , 0.5 ," 8,061 "," 1,972 ", 1.7 , 0.4 ," 79,549 "," 5,049 ", 16.6 , 1.0 ," 307,171 "," 5,746 ", 63.9 , 1.0 
368,TX,Texas,6," 554,709 "," 11,109 "," 373,722 "," 9,912 ", 67.4 , 1.3 ," 119,118 "," 7,782 ", 21.5 , 1.3 ," 22,896 "," 3,297 ", 4.1 , 0.6 , N , N , N , N , N , N , N , N ," 17,934 "," 3,616 ", 3.2 , 0.6 ," 16,609 "," 3,100 ", 3.0 , 0.5 ," 95,719 "," 6,120 ", 17.3 , 0.9 ," 303,004 "," 7,752 ", 54.6 , 1.2 
369,TX,Texas,7," 448,262 "," 17,967 "," 298,130 "," 13,248 ", 66.5 , 2.1 ," 71,129 "," 9,685 ", 15.9 , 1.9 ," 40,651 "," 4,580 ", 9.1 , 1.0 , N , N , N , N , N , N , N , N ," 24,145 "," 5,378 ", 5.4 , 1.1 ," 12,320 "," 3,383 ", 2.7 , 0.8 ," 93,548 "," 9,468 ", 20.9 , 1.9 ," 233,445 "," 10,002 ", 52.1 , 1.7 
370,TX,Texas,8," 584,039 "," 8,995 "," 500,072 "," 8,466 ", 85.6 , 0.8 ," 51,935 "," 4,097 ", 8.9 , 0.7 ," 10,603 "," 2,708 ", 1.8 , 0.5 , N , N , N , N , N , N , N , N ," 8,025 "," 2,138 ", 1.4 , 0.4 ," 11,311 "," 5,399 ", 1.9 , 0.9 ," 87,095 "," 7,899 ", 14.9 , 1.2 ," 424,082 "," 5,610 ", 72.6 , 1.2 
371,TX,Texas,9," 445,634 "," 16,319 "," 141,641 "," 10,801 ", 31.8 , 2.1 ," 208,780 "," 11,914 ", 46.9 , 2.1 ," 49,557 "," 5,314 ", 11.1 , 1.1 , N , N , N , N , N , N , N , N ," 38,209 "," 5,551 ", 8.6 , 1.2 ," 6,091 "," 2,119 ", 1.4 , 0.5 ," 120,680 "," 10,717 ", 27.1 , 2.1 ," 62,693 "," 6,017 ", 14.1 , 1.3 
372,TX,Texas,10," 593,629 "," 15,051 "," 452,663 "," 12,510 ", 76.3 , 1.5 ," 68,022 "," 7,854 ", 11.5 , 1.2 ," 30,569 "," 4,152 ", 5.1 , 0.7 , N , N , N , N , N , N , N , N ," 24,999 "," 3,874 ", 4.2 , 0.6 ," 13,675 "," 2,662 ", 2.3 , 0.4 ," 115,843 "," 9,319 ", 19.5 , 1.4 ," 367,912 "," 10,312 ", 62.0 , 1.6 
373,TX,Texas,11," 542,570 "," 6,851 "," 478,019 "," 7,048 ", 88.1 , 0.9 ," 24,543 "," 3,574 ", 4.5 , 0.7 ," 5,006 "," 1,488 ", 0.9 , 0.3 , N , N , N , N , N , N , N , N ," 22,550 "," 4,097 ", 4.2 , 0.7 ," 9,672 "," 3,802 ", 1.8 , 0.7 ," 170,218 "," 5,477 ", 31.4 , 0.7 ," 339,067 "," 3,758 ", 62.5 , 0.7 
374,TX,Texas,12," 572,411 "," 11,504 "," 472,228 "," 10,511 ", 82.5 , 1.2 ," 52,093 "," 5,266 ", 9.1 , 0.9 ," 16,010 "," 2,482 ", 2.8 , 0.4 , N , N , N , N , N , N , N , N ," 16,440 "," 3,457 ", 2.9 , 0.6 ," 12,047 "," 2,011 ", 2.1 , 0.3 ," 98,273 "," 6,369 ", 17.2 , 1.0 ," 394,380 "," 9,107 ", 68.9 , 1.4 
375,TX,Texas,13," 493,390 "," 5,774 "," 431,065 "," 5,086 ", 87.4 , 0.6 ," 27,053 "," 1,945 ", 5.5 , 0.4 ," 7,620 "," 1,430 ", 1.5 , 0.3 , N , N , N , N , N , N , N , N ," 13,323 "," 2,152 ", 2.7 , 0.4 ," 10,264 "," 3,020 ", 2.1 , 0.6 ," 98,343 "," 4,391 ", 19.9 , 0.7 ," 351,529 "," 2,332 ", 71.2 , 0.7 
376,TX,Texas,14," 532,153 "," 6,811 "," 384,154 "," 6,479 ", 72.2 , 0.8 ," 112,210 "," 3,663 ", 21.1 , 0.7 ," 13,195 "," 1,601 ", 2.5 , 0.3 , N , N , N , N , N , N , N , N ," 11,359 "," 2,727 ", 2.1 , 0.5 ," 10,314 "," 4,297 ", 1.9 , 0.8 ," 97,361 "," 5,099 ", 18.3 , 0.9 ," 302,300 "," 4,701 ", 56.8 , 0.7 
377,TX,Texas,15," 435,170 "," 10,959 "," 379,943 "," 10,203 ", 87.3 , 1.2 ," 12,712 "," 2,594 ", 2.9 , 0.6 ," 6,649 "," 2,012 ", 1.5 , 0.5 , N , N , N , N , N , N , N , N ," 29,321 "," 4,413 ", 6.7 , 1.0 ," 6,426 "," 3,777 ", 1.5 , 0.9 ," 318,150 "," 10,296 ", 73.1 , 0.9 ," 95,665 "," 3,531 ", 22.0 , 0.8 
378,TX,Texas,16," 458,940 "," 7,531 "," 368,827 "," 8,663 ", 80.4 , 1.4 ," 18,683 "," 1,640 ", 4.1 , 0.4 ," 5,641 ", 954 , 1.2 , 0.2 , N , N , N , N , N , N , N , N ," 50,117 "," 6,024 ", 10.9 , 1.3 ," 13,062 "," 2,471 ", 2.8 , 0.5 ," 354,559 "," 7,211 ", 77.3 , 0.5 ," 74,701 "," 1,748 ", 16.3 , 0.4 
379,TX,Texas,17," 550,601 "," 9,229 "," 438,916 "," 8,836 ", 79.7 , 1.0 ," 71,168 "," 4,571 ", 12.9 , 0.8 ," 21,392 "," 3,122 ", 3.9 , 0.5 , N , N , N , N , N , N , N , N ," 6,034 "," 1,271 ", 1.1 , 0.2 ," 10,451 "," 3,153 ", 1.9 , 0.6 ," 104,304 "," 6,300 ", 18.9 , 1.0 ," 346,034 "," 6,805 ", 62.8 , 1.1 
380,TX,Texas,18," 480,387 "," 17,751 "," 208,568 "," 11,571 ", 43.4 , 1.9 ," 215,580 "," 11,958 ", 44.9 , 1.7 ," 17,534 "," 2,994 ", 3.6 , 0.6 , N , N , N , N , N , N , N , N ," 28,717 "," 5,183 ", 6.0 , 1.1 ," 7,835 "," 2,174 ", 1.6 , 0.5 ," 135,295 "," 9,105 ", 28.2 , 1.5 ," 107,589 "," 6,846 ", 22.4 , 1.3 
381,TX,Texas,19," 509,891 "," 4,649 "," 429,575 "," 5,280 ", 84.2 , 0.8 ," 29,977 "," 1,790 ", 5.9 , 0.3 ," 5,605 "," 1,309 ", 1.1 , 0.3 , N , N , N , N , N , N , N , N ," 29,663 "," 3,401 ", 5.8 , 0.7 ," 10,920 "," 3,979 ", 2.1 , 0.8 ," 158,311 "," 3,756 ", 31.0 , 0.6 ," 306,882 "," 2,888 ", 60.2 , 0.5 
382,TX,Texas,20," 549,483 "," 15,793 "," 454,208 "," 14,410 ", 82.7 , 1.2 ," 34,008 "," 3,870 ", 6.2 , 0.7 ," 13,058 "," 2,426 ", 2.4 , 0.4 ," 5,751 "," 3,440 ", 1.0 , 0.6 , N , N , N , N ," 27,207 "," 4,145 ", 5.0 , 0.7 ," 15,763 "," 2,968 ", 2.9 , 0.5 ," 359,225 "," 12,758 ", 65.4 , 1.2 ," 137,455 "," 7,751 ", 25.0 , 1.3 
383,TX,Texas,21," 622,228 "," 13,955 "," 545,917 "," 12,805 ", 87.7 , 0.9 ," 26,014 "," 4,869 ", 4.2 , 0.8 ," 14,202 "," 2,674 ", 2.3 , 0.4 , N , N , N , N , N , N , N , N ," 16,844 "," 3,099 ", 2.7 , 0.5 ," 18,607 "," 2,577 ", 3.0 , 0.4 ," 152,663 "," 8,959 ", 24.5 , 1.3 ," 418,194 "," 12,102 ", 67.2 , 1.5 
384,TX,Texas,22," 577,164 "," 14,484 "," 363,663 "," 11,258 ", 63.0 , 1.5 ," 90,540 "," 8,021 ", 15.7 , 1.2 ," 96,189 "," 6,068 ", 16.7 , 1.1 , N , N , N , N , N , N , N , N ," 14,120 "," 3,628 ", 2.4 , 0.6 ," 10,331 "," 2,019 ", 1.8 , 0.3 ," 131,296 "," 9,629 ", 22.7 , 1.4 ," 253,902 "," 7,435 ", 44.0 , 1.2 
385,TX,Texas,23," 507,547 "," 12,255 "," 432,414 "," 11,743 ", 85.2 , 1.1 ," 22,598 "," 6,667 ", 4.5 , 1.3 ," 9,643 "," 2,329 ", 1.9 , 0.5 , N , N , N , N , N , N , N , N ," 33,170 "," 4,491 ", 6.5 , 0.8 ," 7,572 "," 2,038 ", 1.5 , 0.4 ," 323,467 "," 11,316 ", 63.7 , 1.2 ," 149,430 "," 5,887 ", 29.4 , 1.1 
386,TX,Texas,24," 503,766 "," 10,913 "," 356,984 "," 10,134 ", 70.9 , 1.4 ," 69,184 "," 6,687 ", 13.7 , 1.3 ," 46,929 "," 4,780 ", 9.3 , 0.9 , N , N , N , N , N , N , N , N ," 15,268 "," 3,051 ", 3.0 , 0.6 ," 11,265 "," 2,400 ", 2.2 , 0.5 ," 76,490 "," 6,027 ", 15.2 , 1.2 ," 299,672 "," 10,030 ", 59.5 , 1.5 
387,TX,Texas,25," 570,238 "," 11,587 "," 477,742 "," 9,089 ", 83.8 , 0.9 ," 47,854 "," 4,946 ", 8.4 , 0.8 ," 16,429 "," 3,078 ", 2.9 , 0.5 , N , N , N , N , N , N , N , N ," 11,245 "," 2,180 ", 2.0 , 0.4 ," 14,079 "," 2,228 ", 2.5 , 0.4 ," 85,432 "," 5,923 ", 15.0 , 0.9 ," 411,296 "," 7,727 ", 72.1 , 1.1 
388,TX,Texas,26," 605,249 "," 8,073 "," 485,828 "," 7,094 ", 80.3 , 1.2 ," 54,444 "," 4,302 ", 9.0 , 0.7 ," 29,495 "," 5,012 ", 4.9 , 0.8 , N , N , N , N , N , N , N , N ," 13,496 "," 3,527 ", 2.2 , 0.6 ," 16,226 "," 2,733 ", 2.7 , 0.4 ," 87,452 "," 5,322 ", 14.4 , 0.8 ," 420,675 "," 7,197 ", 69.5 , 1.2 
389,TX,Texas,27," 517,267 "," 6,497 "," 450,131 "," 6,307 ", 87.0 , 0.7 ," 30,575 "," 2,060 ", 5.9 , 0.4 ," 6,770 ", 775 , 1.3 , 0.1 , N , N , N , N , N , N , N , N ," 19,945 "," 3,312 ", 3.9 , 0.6 ," 8,192 "," 3,554 ", 1.6 , 0.7 ," 244,288 "," 5,237 ", 47.2 , 0.6 ," 230,403 "," 3,206 ", 44.5 , 0.6 
390,TX,Texas,28," 434,305 "," 11,134 "," 380,927 "," 10,251 ", 87.7 , 1.3 ," 22,504 "," 3,848 ", 5.2 , 0.9 , N , N , N , N , N , N , N , N , N , N , N , N ," 17,271 "," 3,797 ", 4.0 , 0.8 ," 10,001 "," 3,727 ", 2.3 , 0.9 ," 308,450 "," 10,041 ", 71.0 , 1.2 ," 95,644 "," 5,524 ", 22.0 , 1.2 
391,TX,Texas,29," 369,239 "," 12,870 "," 250,530 "," 11,132 ", 67.9 , 2.0 ," 50,559 "," 5,904 ", 13.7 , 1.5 ," 7,339 "," 2,125 ", 2.0 , 0.6 , N , N , N , N , N , N , N , N ," 51,102 "," 5,836 ", 13.8 , 1.6 ," 6,742 "," 2,416 ", 1.8 , 0.7 ," 253,013 "," 10,247 ", 68.5 , 1.7 ," 54,124 "," 4,846 ", 14.7 , 1.2 
392,TX,Texas,30," 479,082 "," 11,936 "," 199,737 "," 10,585 ", 41.7 , 1.7 ," 246,174 "," 8,855 ", 51.4 , 1.6 ," 9,420 "," 3,740 ", 2.0 , 0.8 , N , N , N , N , N , N , N , N ," 12,972 "," 2,594 ", 2.7 , 0.5 ," 9,549 "," 3,307 ", 2.0 , 0.7 ," 108,419 "," 8,537 ", 22.6 , 1.5 ," 106,998 "," 6,654 ", 22.3 , 1.3 
393,TX,Texas,31," 602,236 "," 5,813 "," 464,041 "," 5,483 ", 77.1 , 0.7 ," 75,995 "," 3,862 ", 12.6 , 0.6 ," 22,112 "," 2,163 ", 3.7 , 0.4 , N , N , N , N , N , N , N , N ," 14,600 "," 2,372 ", 2.4 , 0.4 ," 21,722 "," 2,722 ", 3.6 , 0.4 ," 121,927 "," 4,150 ", 20.2 , 0.6 ," 369,505 "," 3,590 ", 61.4 , 0.6 
394,TX,Texas,32," 505,867 "," 10,389 "," 368,510 "," 9,903 ", 72.8 , 1.4 ," 64,757 "," 6,455 ", 12.8 , 1.3 ," 39,905 "," 5,064 ", 7.9 , 1.0 , N , N , N , N , N , N , N , N ," 17,777 "," 3,930 ", 3.5 , 0.8 ," 10,758 "," 2,355 ", 2.1 , 0.5 ," 81,663 "," 7,926 ", 16.1 , 1.5 ," 307,844 "," 8,962 ", 60.9 , 1.5 
395,TX,Texas,33," 360,226 "," 12,748 "," 211,253 "," 9,855 ", 58.6 , 1.7 ," 87,623 "," 6,984 ", 24.3 , 1.7 ," 9,130 "," 2,469 ", 2.5 , 0.7 , N , N , N , N , N , N , N , N ," 40,240 "," 4,102 ", 11.2 , 1.2 ," 8,759 "," 2,411 ", 2.4 , 0.7 ," 177,006 "," 9,898 ", 49.1 , 2.0 ," 79,751 "," 5,605 ", 22.1 , 1.5 
396,TX,Texas,34," 424,863 "," 9,876 "," 394,847 "," 9,853 ", 92.9 , 0.8 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 17,106 "," 3,541 ", 4.0 , 0.8 ," 3,934 "," 1,048 ", 0.9 , 0.2 ," 337,458 "," 9,587 ", 79.4 , 0.8 ," 77,793 "," 2,813 ", 18.3 , 0.7 
397,TX,Texas,35," 532,967 "," 13,421 "," 407,887 "," 12,973 ", 76.5 , 1.4 ," 53,412 "," 5,622 ", 10.0 , 1.1 ," 7,645 "," 1,830 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N ," 45,363 "," 5,467 ", 8.5 , 1.0 ," 14,093 "," 2,348 ", 2.6 , 0.4 ," 282,126 "," 11,351 ", 52.9 , 1.4 ," 180,731 "," 7,761 ", 33.9 , 1.3 
398,TX,Texas,36," 519,385 "," 9,934 "," 434,194 "," 10,218 ", 83.6 , 1.1 ," 55,785 "," 4,520 ", 10.7 , 0.9 ," 7,186 "," 1,874 ", 1.4 , 0.4 , N , N , N , N , N , N , N , N ," 8,042 "," 2,302 ", 1.5 , 0.4 ," 10,489 "," 2,017 ", 2.0 , 0.4 ," 97,071 "," 6,608 ", 18.7 , 1.1 ," 350,581 "," 8,144 ", 67.5 , 1.1 
399,UT,Utah,1," 521,517 "," 4,200 "," 479,166 "," 4,211 ", 91.9 , 0.5 ," 6,697 ", 773 , 1.3 , 0.1 ," 7,073 "," 1,281 ", 1.4 , 0.2 ," 4,950 "," 1,585 ", 0.9 , 0.3 , N , N , N , N ," 9,899 "," 2,519 ", 1.9 , 0.5 ," 11,974 "," 3,048 ", 2.3 , 0.6 ," 49,305 "," 2,497 ", 9.5 , 0.5 ," 443,992 "," 4,144 ", 85.1 , 0.5 
400,UT,Utah,2," 529,608 "," 7,295 "," 469,567 "," 8,088 ", 88.7 , 1.0 ," 6,167 "," 1,619 ", 1.2 , 0.3 ," 10,348 "," 1,882 ", 2.0 , 0.3 ," 6,580 "," 1,899 ", 1.2 , 0.4 ," 4,405 "," 1,606 ", 0.8 , 0.3 ," 21,509 "," 3,735 ", 4.1 , 0.7 ," 11,119 "," 1,810 ", 2.1 , 0.3 ," 49,995 "," 4,441 ", 9.4 , 0.8 ," 444,107 "," 7,624 ", 83.9 , 1.0 
401,UT,Utah,3," 517,848 "," 6,002 "," 477,127 "," 6,405 ", 92.1 , 0.5 ," 2,771 ", 820 , 0.5 , 0.2 ," 8,430 "," 1,523 ", 1.6 , 0.3 ," 7,996 "," 1,664 ", 1.5 , 0.3 ," 5,263 ", 958 , 1.0 , 0.2 ," 5,608 "," 1,376 ", 1.1 , 0.3 ," 11,033 "," 3,341 ", 2.1 , 0.6 ," 35,764 "," 2,941 ", 6.9 , 0.6 ," 448,612 "," 6,209 ", 86.6 , 0.7 
402,UT,Utah,4," 518,368 "," 8,401 "," 452,383 "," 8,158 ", 87.3 , 1.0 ," 6,601 "," 1,538 ", 1.3 , 0.3 ," 15,171 "," 2,160 ", 2.9 , 0.4 , N , N , N , N ," 6,179 "," 1,786 ", 1.2 , 0.3 ," 22,264 "," 4,101 ", 4.3 , 0.8 ," 12,652 "," 2,059 ", 2.4 , 0.4 ," 55,184 "," 4,794 ", 10.6 , 0.9 ," 424,024 "," 8,103 ", 81.8 , 1.1 
